Clause,Clause_Name,Responsibility
1.3,Communications,"Contractor's client's engineer's responsibilities are approvals, certificates, consents  and determinations  shall not be unreasonably withheld or delayed. When a certificate is issued to a Contractor, the certifier shall send a copy to the Contractor. When a notice is issued to a Contractor, by the Employer or the Engineer, a copy shall be sent to the Engineer or the Employer, as the case may be. When a certificate is issued to a Employer, the certifier shall send a copy to the Employer. When a notice is issued to a Employer, by the Contractor or the Engineer, a copy shall be sent to the Engineer or the Contractor, as the case may be."
1.4,Law and Language,"If there are versions of any part of the Contract which are written in more than one language, the version which is in the ruling language stated in the Appendix to Tender shall prevail."
1.5,Priority of Documents,"The documents forming the Contract are to be taken as mutually explanatory of one another. For the purposes  of interpretation, the contractor should consider priority  of the documents  shall be in accordance with the following sequence: contract agreement, letter of acceptance, letter of tender, particular conditions, general conditions, specifications, drawings and schedules. If an ambiguity or discrepancy is found in the documents, the Engineer shall issue any necessary clarification or instruction."
1.6,Contract Agreement,"The Employer shall enter into a Contract Agreement within 28 days after the Contractor receives  the Letter of Acceptance, unless  they  agree otherwise. The Contract Agreement shall be based upon the form annexed to the Particular Conditions. The costs of stamp duties and similar charges (if any) imposed by law in connection with entry into the Contract Agreement shall be borne by the Employer."
1.7, Assignment,Should Not assign  the  whole  or  any  part  of  the  Contract  or  any  benefit  or interest in or under the Contract.
1.8,Care and Supply of Documents,"The Specification and Drawings  shall be in the custody  and care of the Employer. Unless  otherwise stated in the Contract, two copies  of the Contract and of each subsequent Drawing shall be supplied to the Contractor, who may  make or request further copies at the cost of the Contractor. Each of the Contractor's  Documents  shall be in the custody  and care of the Contractor, unless  and until taken over by  the Employer. Unless  otherwise stated in the Contract, the Contractor shall supply  to the Engineer six  copies  of each of the Contractor's Documents.
The Contractor shall keep, on the Site, a copy of the Contract, publications named in the Specification, the Contractor's  Documents  (if any), the Drawings  and Variations and other communications  given under the Contract. The Employer’s Personnel shall have the right of access to all these documents at all reasonable times.
If a Party becomes aware of an error or defect of a technical nature in a document which was  prepared for use in executing the Works, the Party  shall promptly  give notice to the other Party of such error or defect."
1.9,Delayed Drawings or Instructions,"The Contractor shall give notice to the Engineer whenever the Works are likely to be delayed or disrupted if any  necessary  drawing or instruction is  not issued to the Contractor within a particular time, which shall be reasonable. The notice shall include details of the necessary drawing or instruction, details of why and by when it should be issued, and details of the nature and amount of the delay or disruption likely to be suffered if it is late. If the Contractor suffers delay and/or incurs Cost as a result of a failure of the Engineer to issue the notified drawing or instruction within a time which is  reasonable and is specified in the notice with supporting details, the Contractor shall give a further notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 Contractor's Claims to an extension of time for any  such delay and payment of any such Cost plus reasonable profit. After receiving this further notice, the Engineer shall proceed in accordance with Sub­ Clause 3.5 Determinations to agree or determine these matters.
However, if and to the extent that the Engineer's failure was caused by any error or delay by the Contractor, including an error in. or delay in the submission of. any of the Contractor's  Documents, the Contractor shall not be entitled to such extension of time, Cost or profit."
1.10,Employer's Use of Contractor's Documents,"As between the Parties, the Contractor shall retain the copyright and other intellectual property  rights  in the Contractor’s  Documents  and other design documents  made by (or on behalf of) the Contractor. The Contractor shall be deemed (by signing the Contract) to give to the Employer a non-terminable transferable non-exclusive royalty-free licence to copy, use and communicate the Contractor's  Documents, including making and using modifications of them. This licence shall: (a)       apply throughout the actual or intended working life (whichever is longer) of the relevant parts of the Works.  (b) entitle any  person in proper possession of the relevant part of the Works  to copy, use and communicate the Contractor's  Documents  for the purposes  of completing, operating, maintaining, altering, adjusting, repairing and demolishing the Works, and (c) in the case of Contractor's  Documents  which are in the form of computer programs and other software, permit their use on any computer on the Site and other places  as  envisaged by  the Contract, including replacements  of any computers supplied by the Contractor. The Contractor's  Documents and other design documents made by (or on behalf of) the Contractor shall not. without the Contractor's  consent, be used, copied or communicated to a third party  by  (or on behalf of) the Employer for purposes  other than those permitted under this Sub-Clause."
1.11,Contractor's Use of Employer’s Documents,"As between the Parties, the Employer shall retain the copyright and other intellectual property  rights  in the Specification, the Drawings  and other documents  made by  (or on behalf of) the Employer. The Contractor may, at his  cost, copy, use, and obtain communication of these documents for the purposes of the Contract. They shall not without the Employers consent, be copied, used or communicated to a third party by the Contractor, except as necessary for the purposes of the Contract."
1.12,Confidential Details,The Contractor shall disclose all such confidential and other information as  the Engineer may  reasonably  require in order to verify  the Contractor's  compliance with the Contract.
